Topic 00:itcsm,2583.986362691012;asset,1861.3447962635098;itc,1728.0428380931187;sma,741.9694829816804;agent,602.3285231685516;file,545.884206045432;management,504.65368620285614;back,476.61503138430396;rights,466.96557128336076;ismp,451.9992040348674;meteorcomm,446.2782043647037;reserved,433.8306976988411;llc,418.4532830526136;support,414.673643703026;office,403.87756430211147;systems,402.7974121916925;key,399.56931091100046;event,374.6718425075061;gateway,362.4243868008271;security,359.9621616774786
Topic 01:cfr,723.6155402067037;security,672.2446027864221;parts,634.4225644695325;transportation,503.551559121415;information,467.4146878336601;sensitive,426.20760366668;record,418.06556333190423;plan,326.99414124180885;implementation,317.8772724350305;release,291.1070503688404;warning,273.91230833264996;part,270.04127805166814;defined,253.2713389375708;administrator,249.9547518537285;authority,248.03900169029242;administration,240.36578678686476;version,236.24151552473865;result,233.92731657269454;civil,232.50892777576703;public,232.3237441438444
Topic 02:rules,893.805028534136;employee,766.8039966263204;rule,743.3084616229839;movement,732.4261185143738;approach,622.2609946008824;employees,586.0246454120195;book,561.446196916638;cab,538.4915456300452;signals,506.5968095310228;stop,470.7724927872089;ing,457.5610559707955;roadway,435.27337189363936;operating,419.27009597122367;authority,410.2978358523896;safety,394.72501735240246;hand,385.75466235325194;work,384.13827898579973;dispatcher,367.31883514785386;medium,354.8948118419655;proceed,342.6661836921177
Topic 03:implementation,1423.9953603356278;plan,1014.3975053554814;railroads,775.0500243565522;rail,704.6133745407948;fra,684.7786492819023;safety,557.1270024854297;systems,432.5651880141651;commuter,419.3431004811325;nctd,411.99390314564124;technologies,323.9595357728936;ptcip,287.9442665004216;plans,287.7016625626753;technology,285.2538983399062;wayside,281.51949205288247;marc,279.99834731756715;siemens,279.99035934829806;septa,269.9524861569043;itc,268.1887194119476;development,265.02479409091933;sounder,260.7823305800461
Topic 04:interface,1299.7201914195873;power,1209.2168080898132;standard,1132.6257474830666;gnd,1117.9792640947583;device,842.0703327354948;manual,833.7817131090374;electronics,807.1487210067926;requirements,780.8379537129515;aar,780.0830518185303;standards,777.7375043429298;connector,769.774501383053;recommended,704.5524952243898;architecture,700.0030470601581;practices,688.374786366701;port,645.0401602678188;lan,638.7588778620973;radio,601.9332502074317;subsystem,583.8560386329876;cabinet,549.6133676455858;switch,546.6082744844589
Topic 05:authority,4195.74394814643;server,2493.528303009357;switch,1775.0547914531953;request,1287.4899820659944;location,1256.2189497876238;verify,1182.182192478608;communicating,1118.7270032730878;display,1087.296552222418;cad,972.6021936383011;limits,964.1231973163913;dispatching,882.6268981092326;crew,831.4412162568838;end,761.1717224807816;power,710.9525253931811;auth,628.9356144140156;controlled,623.9330411449556;received,607.1641810983624;operated,606.6934577157376;report,586.8373454619284;time,572.8803152332487
Topic 06:varchar,1486.9999889283997;null,1367.8216672784615;number,1294.9209693009902;true,805.8185553423241;subdivision,688.9299685754114;feature,522.5318604026918;type,516.2902606532308;defines,503.6739025841748;values,483.29853579175995;scac,480.1009488633164;switch,443.88706550409347;valid,393.0450552561592;attributes,371.0878344425994;block,368.25035324260216;location,353.9523596729133;table,335.90064746305717;required,335.5278610791946;milepost,328.18836987749825;model,310.1192999342741;nodetype,294.9999822846395
Topic 07:jct,2995.367707922973;dgno,1222.9964180694742;bnsf,796.4270306842834;tre,429.6703846250581;sixth,409.69336248101183;wgs,371.0212216187148;geodetic,310.0281186752409;dart,203.30044379309405;reference,198.57391817310517;local,189.16160247699753;appendix,182.2976749786194;parameters,161.71222639525544;moves,152.91321886863946;international,151.00965101520708;revision,145.0666206341612;datums,145.0024554888384;date,140.67029257443335;section,140.642533873211;station,139.47829323446635;transformation,138.86544684360473
Topic 08:remote,1519.8531075622786;display,900.008148220887;unsigned,836.7323720438769;lead,789.4405467617911;command,766.0900280792448;itc,723.6084346263629;status,704.0305379114423;mode,670.758727101833;fault,660.2886528332558;pressure,626.8444316607411;number,600.6665766059722;active,581.0836507957862;unit,543.438653456656;event,528.9533768759279;controlled,524.264519786999;valid,510.27179667742075;format,490.58456872758563;psi,469.9659942991739;air,469.5116660731817;interface,451.23866024447267
Topic 09:crossing,2328.6566278932455;highway,1910.4268529423962;grade,1211.4650807633548;traffic,1200.2947808771269;crossings,1053.5857418218673;rail,973.4550542854847;time,703.6056222473778;vehicle,683.6124997124035;safety,625.9892612959021;devices,597.2382908604858;warning,503.38712721446205;state,483.42283546997953;public,448.81459091529496;federal,443.70108645185877;transportation,407.3521936440571;number,402.2320007741561;distance,389.2828262629641;line,383.1473753412093;signals,335.1342566353386;vehicles,332.7754192404229
Topic 10:cars,1057.9793031586225;car,878.8841280577863;mph,579.9470203951313;trains,545.0897275276957;instructions,464.63215155879436;dispatcher,408.3882069292697;switch,394.63965551385814;bnsf,351.8966802349978;rule,347.26810578568575;end,342.2012109952554;rail,337.28448572266996;special,320.4617735945243;engineer,315.0547469328798;handling,307.8527715481587;nmrx,305.0013168835354;work,296.8638503667929;main,261.54859918510675;location,257.8651363738962;inspection,253.14481039945173;time,244.4580418023746
